,year,state,state_po,FIPS,county,party,won_proportion
293,2008,Florida,FL,12005,Bay,democrat,0.2915552158960642
294,2008,Florida,FL,12007,Bradford,democrat,0.29376498800959233
295,2008,Florida,FL,12009,Brevard,democrat,0.44334205288005585
296,2008,Florida,FL,12011,Broward,democrat,0.6712640295190483
297,2008,Florida,FL,12013,Calhoun,democrat,0.2916399743754004
298,2008,Florida,FL,12015,Charlotte,democrat,0.4583362690528195
299,2008,Florida,FL,12017,Citrus,democrat,0.4130885790068016
300,2008,Florida,FL,12019,Clay,democrat,0.2822779322668302
301,2008,Florida,FL,12021,Collier,democrat,0.38348311124883794
302,2008,Florida,FL,12023,Columbia,democrat,0.3260452218430034
303,2008,Florida,FL,12027,Desoto,democrat,0.4326325140657388
304,2008,Florida,FL,12029,Dixie,democrat,0.26500550660792954
305,2008,Florida,FL,12031,Duval,democrat,0.487342487631115
306,2008,Florida,FL,12033,Escambia,democrat,0.3986610293498741
307,2008,Florida,FL,12035,Flagler,democrat,0.5042932022597948
308,2008,Florida,FL,12037,Franklin,democrat,0.3539558799137502
309,2008,Florida,FL,12039,Gadsden,democrat,0.6922256774766771
310,2008,Florida,FL,12041,Gilchrist,democrat,0.25527561069190435
311,2008,Florida,FL,12043,Glades,democrat,0.3928655245247594
312,2008,Florida,FL,12045,Gulf,democrat,0.29826509368494103
313,2008,Florida,FL,12047,Hamilton,democrat,0.4231251118668337
314,2008,Florida,FL,12049,Hardee,democrat,0.34646519158121963
315,2008,Florida,FL,12051,Hendry,democrat,0.45941722584796396
316,2008,Florida,FL,12053,Hernando,democrat,0.4765133502462998
317,2008,Florida,FL,12055,Highlands,democrat,0.4049527722573298
318,2008,Florida,FL,12057,Hillsborough,democrat,0.5317682033539056
319,2008,Florida,FL,12059,Holmes,democrat,0.16835487251135173
320,2008,Florida,FL,12061,Indian River,democrat,0.42087518238868976
321,2008,Florida,FL,12063,Jackson,democrat,0.35571527938789704
322,2008,Florida,FL,12065,Jefferson,democrat,0.5137614678899083
323,2008,Florida,FL,12067,Lafayette,democrat,0.19112831199761834
324,2008,Florida,FL,12069,Lake,democrat,0.42843336101166574
325,2008,Florida,FL,12071,Lee,democrat,0.44452903340810174
326,2008,Florida,FL,12073,Leon,democrat,0.6173759151593454
327,2008,Florida,FL,12075,Levy,democrat,0.3583978638184246
328,2008,Florida,FL,12077,Liberty,democrat,0.273032336790726
329,2008,Florida,FL,12079,Madison,democrat,0.4793982261142921
330,2008,Florida,FL,12081,Manatee,democrat,0.46076818821795595
331,2008,Florida,FL,12083,Marion,democrat,0.4372184024391749
332,2008,Florida,FL,12085,Martin,democrat,0.4279766010166807
333,2008,Florida,FL,12086,Miami-Dade,democrat,0.5788524654713568
334,2008,Florida,FL,12087,Monroe,democrat,0.5191448152562574
335,2008,Florida,FL,12089,Nassau,democrat,0.277203425229741
336,2008,Florida,FL,12091,Okaloosa,democrat,0.2708287535722137
337,2008,Florida,FL,12093,Okeechobee,democrat,0.3994994525262005
338,2008,Florida,FL,12095,Orange,democrat,0.590020552785648
339,2008,Florida,FL,12097,Osceola,democrat,0.5956292837985497
340,2008,Florida,FL,12099,Palm Beach,democrat,0.611805249788315
